"filename", "language", "Java", "JSON", "comment", "blank", "total"
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/InventoryInteraction.java", "Java", 50, 0, 11, 15, 76
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/MenuInteraction.java", "Java", 47, 0, 10, 29, 86
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/OptionInteraction.java", "Java", 50, 0, 11, 15, 76
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/main/interactions/PlayInteractionManager.java", "Java", 382, 0, 71, 149, 602
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Items.java", "Java", 88, 0, 1, 32, 121
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Materials.java", "Java", 69, 0, 1, 21, 91
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Meny.java", "Java", 48, 0, 2, 20, 70
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Resources.java", "Java", 87, 0, 2, 30, 119
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/Slot.java", "Java", 13, 0, 0, 8, 21
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/SlotCategories.java", "Java", 17, 0, 0, 15, 32
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/SlotSubCategories.java", "Java", 11, 0, 0, 10, 21
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/Item.java", "Java", 105, 0, 5, 41, 151
"/Users/ferdinandfremming/Library/CloudStorage/OneDrive-UniversitetetiOslo/spill/spillJava2d/ressurser/meny/items/equipments/Axe.java", "Java", 21, 0, 0, 10, 31
